Loan Sanction Amount (USD),Gender,Age,Income (USD),Income Stability,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Co-Applicant
129690.2,M,62,NA,High,Semi-Urban,185271.72,871.49,NA,826.32,1,Inactive,1
140357.38,M,23,2652.86,Low,Rural,187143.18,712.2,1,826.67,0,Active,1
125983.93,M,51,3023.25,Low,Semi-Urban,179977.05,518.52,2,745.96,0,Unpossessed,1
45381.77,NA,18,2051.07,NA,Semi-Urban,69818.1,511.49,2,712.21,0,Inactive,1
89802.18,M,63,1993.98,NA,Semi-Urban,112252.73,404.13,1,758.73,0,Unpossessed,1
45696.28,M,51,3466.01,Low,Urban,70301.97,415.66,3,708.89,1,Unpossessed,1
99694.38,F,24,2477.6,NA,Rural,142420.55,392.58,4,689.02,0,Inactive,1
111715.95,F,18,3253.77,Low,Semi-Urban,171870.69,467.56,1,665.72,0,Inactive,1
35854.22,M,46,906.23,Low,Semi-Urban,47805.63,236.35,4,803.4,0,Active,1
25749.5,F,65,1173.45,High,Semi-Urban,32186.88,147.43,2,820.15,0,Unpossessed,0
71570.92,M,34,1407.31,NA,Semi-Urban,110109.11,385.28,1,NA,1,Unpossessed,1
48269.99,M,19,1967.88,Low,Semi-Urban,74261.53,729.32,2,704.66,0,Inactive,1
62682.37,M,60,2395.73,High,Rural,78352.96,329.18,1,855.49,1,Active,1
51188.12,F,20,NA,NA,Semi-Urban,63985.15,283.85,1,768.11,1,Unpossessed,1
40865.8,M,26,3817.49,Low,Semi-Urban,58379.72,425.41,3,661.38,0,Unpossessed,1
145822.11,F,38,2065.17,Low,Semi-Urban,182277.64,790.62,2,796.55,0,Active,1
68736,F,24,3378.01,Low,Semi-Urban,91648,528.29,2,784.4,0,NA,1
69128,F,60,3500.44,High,Semi-Urban,98754.29,315.34,2,798.84,0,Inactive,1
116274.77,M,23,1337.43,Low,Semi-Urban,155033.03,432.81,2,826.49,0,Active,1
156520.69,F,48,2923.39,Low,Semi-Urban,223600.99,639.49,4,767.84,0,NA,1
9903.95,M,61,NA,High,Semi-Urban,14148.5,140.84,2,811.06,1,Active,1
90048.89,F,35,2342.42,Low,Semi-Urban,112561.11,410.69,1,773.08,1,Inactive,1
149241.04,F,47,3037.62,Low,Semi-Urban,198988.05,725.03,2,770.2,0,Inactive,1
46170.95,F,47,1474.94,Low,Semi-Urban,61561.27,229.97,4,771.35,0,Inactive,1
46911.54,M,30,3152.63,Low,Semi-Urban,67016.49,160.31,1,792.75,0,NA,1
154970.3,M,53,6271.82,Low,Semi-Urban,193712.87,520.99,2,815.79,0,Active,1
74658.23,M,34,2990.05,Low,Semi-Urban,99544.31,346.4,NA,790.46,0,Unpossessed,1
71850.82,F,36,1961.14,Low,Semi-Urban,110539.72,371.91,2,732.65,1,Active,1
26990.68,F,28,1581.74,Low,Rural,41524.12,340.53,2,694.48,0,Inactive,1
40682.06,M,65,702.55,High,Rural,58117.23,527.96,2,778.77,0,Inactive,1
36974.19,F,64,NA,NA,Semi-Urban,52820.27,418.04,1,859.15,1,Inactive,1
33852.35,M,61,NA,Low,Semi-Urban,42315.44,210.46,2,863.05,1,Inactive,1
121329.18,F,64,1470.91,NA,Semi-Urban,161772.24,450.99,NA,816.81,0,Active,0
74307.82,F,33,4943.68,Low,Semi-Urban,106154.03,795.6,3,866.69,0,Active,1
21864.44,M,56,NA,Low,Semi-Urban,31234.92,193.02,2,691.41,0,Unpossessed,1
60490.32,F,28,2106.16,Low,Semi-Urban,75612.9,450.68,NA,NA,0,NA,1
10143.89,M,32,930.91,Low,Semi-Urban,13525.19,70,1,NA,0,Active,1
55768.24,F,36,NA,Low,Semi-Urban,79668.91,416.32,2,762.13,0,NA,1
11313.97,M,61,1595.43,High,Semi-Urban,15085.29,147.93,2,851.94,0,Inactive,0
47079.78,M,43,1339.22,Low,Semi-Urban,67256.83,338.35,3,723.78,0,Unpossessed,1
50485.55,F,57,2391.79,Low,Semi-Urban,67314.07,325.58,4,817.99,0,Inactive,1
53681.48,F,46,1724.97,Low,Semi-Urban,76687.83,344.91,1,678.03,0,Unpossessed,1
88681.48,M,32,NA,Low,Rural,126687.83,629.94,3,NA,0,Unpossessed,1
96740.83,F,29,NA,Low,Semi-Urban,128987.77,554.42,3,NA,0,Inactive,1
56942.61,M,62,NA,Low,Semi-Urban,81346.59,406.41,2,768.37,0,Active,1
54421.4,M,33,1578.34,Low,Semi-Urban,77744.85,384.99,3,755.67,1,Unpossessed,1
79511.92,M,59,2840.75,Low,Rural,113588.46,454.77,2,658.1,0,Unpossessed,1
9920.69,M,59,972.35,Low,Semi-Urban,15262.6,111.59,NA,732.9,0,Unpossessed,1
9134.66,F,65,NA,High,Semi-Urban,12179.54,126.34,NA,815.36,0,Unpossessed,0
74814.64,F,46,NA,Low,Semi-Urban,93518.3,473.79,4,768.57,0,Unpossessed,1
32925.87,F,56,NA,Low,Urban,47036.96,320.07,1,666.16,0,Active,1
26703.81,M,33,3207.66,Low,Semi-Urban,41082.78,210.82,3,675.4,0,Active,1
93976.41,F,49,3498.89,Low,Semi-Urban,134252.02,445.76,2,738.21,0,Inactive,1
258527.86,F,18,2587.23,Low,Semi-Urban,323159.83,991.64,2,842.35,0,NA,1
50881.88,F,58,3023.5,NA,Semi-Urban,78279.81,396.23,2,690.26,0,Unpossessed,1
86725.85,M,35,2013.02,Low,Rural,133424.38,590.72,2,741.82,1,Unpossessed,1
44722.69,F,21,2460.14,Low,Semi-Urban,68804.14,324.02,2,653.97,0,Active,1
56069.93,M,44,NA,NA,Urban,70087.41,543.98,3,812.75,0,Inactive,1
81944.96,F,62,1994.77,High,Semi-Urban,117064.23,402.02,2,782.49,0,Inactive,1
16633.62,M,55,1929.09,Low,Semi-Urban,25590.19,121.93,1,716.52,0,Active,1
64147.63,M,18,NA,Low,Semi-Urban,80184.54,289.5,1,813.56,0,Inactive,1
81944.74,M,18,3013.89,Low,Rural,109259.65,625.06,2,NA,0,Active,1
14675.3,M,20,1342.3,Low,Semi-Urban,20964.71,100.36,1,686.7,0,Unpossessed,1
108558.43,M,33,2497.15,Low,Urban,144744.57,567.74,2,794.1,0,Active,1
164926.89,F,18,3085.66,Low,Semi-Urban,164926.89,642.72,3,856.4,0,Unpossessed,0
31515.55,F,48,1101.96,Low,Rural,39394.44,400.43,2,780.87,0,Inactive,1
41007.34,M,18,2028.87,NA,Semi-Urban,58581.92,216,2,865.86,1,Inactive,1
93708.16,F,37,2774.17,Low,Semi-Urban,144166.4,445.94,3,655.6,0,Inactive,1
129930.22,M,18,4310.87,Low,Semi-Urban,185614.6,512.18,4,781.75,0,Active,1
44437.24,F,37,1855.11,Low,Semi-Urban,63481.77,216.73,2,771.55,0,Active,1
75560.18,F,18,2150.63,Low,Rural,107943.11,459.37,4,720.65,0,Unpossessed,1
177429.81,M,36,2429.79,Low,Semi-Urban,253471.16,715.38,2,NA,0,NA,1
100139.89,M,20,973.56,Low,Semi-Urban,154061.37,597.48,NA,716.19,1,Inactive,1
106889.91,F,22,6800.79,Low,Urban,152699.87,679.32,2,802.36,0,Active,1
20970.7,F,33,NA,Low,Rural,26213.38,125.71,2,830.3,0,Inactive,1
34525.12,M,37,1841.21,Low,Rural,43156.4,419.92,2,786.31,0,Active,1
46590.43,M,46,1900.73,Low,Semi-Urban,71677.59,356.2,2,696.05,0,Active,1
23834.11,F,50,621.04,Low,Semi-Urban,29792.64,-999,3,826.42,1,Unpossessed,1
90153.22,M,27,2323.69,Low,Rural,112691.52,329.51,2,840.69,0,Unpossessed,1
50361.2,F,30,2647.84,Low,Semi-Urban,77478.77,392.48,3,671.11,0,Inactive,1
46025.49,M,27,2081.37,Low,Semi-Urban,70808.45,225.5,1,680.41,1,Active,1
18771.98,M,37,1656.99,Low,Semi-Urban,26817.12,204.38,2,660.76,0,Inactive,-999
75997.67,F,65,948.89,High,Urban,94997.09,566.26,2,NA,0,Inactive,1
62292.27,M,36,4201.29,Low,Rural,69213.63,447.25,2,850.45,0,Active,1
139807.83,F,65,NA,High,Semi-Urban,174759.79,762.63,2,769.96,0,Inactive,1
108924.22,M,53,3870.8,Low,Rural,145232.29,630.15,2,770.29,0,Inactive,1
23455.12,M,57,1047.43,Low,Semi-Urban,31273.5,204.19,3,753.82,0,Inactive,1
67417.28,F,62,NA,High,Urban,89889.71,424.96,2,864.08,0,Unpossessed,0
28950.02,F,18,1370.98,Low,Semi-Urban,41357.17,286.39,4,680.94,0,Inactive,1
27267.25,M,44,2408.55,Low,Semi-Urban,38953.22,159.9,3,774.32,0,Unpossessed,1
14580.08,M,39,NA,Low,Rural,22430.89,124.15,3,681.41,0,Active,1
152314.51,F,51,3788.94,Low,Semi-Urban,203086.01,849.07,2,789.19,0,Inactive,1
121721.52,F,29,5279.64,Low,Urban,173887.89,737.09,2,736.36,0,Active,1
39058.05,F,27,2383.42,Low,Semi-Urban,55797.21,405.02,4,762.01,0,Active,1
69428.18,F,18,NA,Low,Semi-Urban,99183.12,271.92,1,688.58,0,NA,1
34357.32,M,58,NA,Low,Semi-Urban,49081.89,260.4,3,677.85,0,Inactive,1
14468.5,M,26,2464.27,NA,Urban,20669.28,92.21,1,823.92,0,Active,1
95250.34,M,65,1522.78,High,Semi-Urban,119062.93,361.72,1,851.57,0,Active,1
99327.13,F,41,4020.43,Low,Semi-Urban,132436.17,NA,2,764.62,0,Inactive,1
206848.46,F,18,NA,Low,Urban,275797.95,708.38,2,798.8,1,Active,1
33916.69,F,63,1634.28,High,Semi-Urban,42395.86,205.61,2,758.97,0,Active,0
233644.33,F,18,NA,Low,Rural,292055.41,769.26,2,830.79,0,Unpossessed,1
43646.53,F,22,2534.91,Low,Semi-Urban,62352.19,314.41,2,709.07,0,Unpossessed,1
59574.18,F,18,2221.99,Low,Semi-Urban,74467.73,736.91,4,782.86,1,Active,1
165444.45,F,55,NA,Low,Urban,206805.56,638.22,NA,776.81,0,Active,1
13818.85,F,53,990.38,Low,Semi-Urban,21259.77,111.51,NA,707.86,1,Inactive,1
69806.88,F,18,1330.55,Low,Semi-Urban,99724.12,266.32,2,810.62,0,Unpossessed,1
98751.06,F,18,2087.24,Low,Semi-Urban,151924.71,468.48,1,672.31,0,Inactive,1
15500.41,M,62,2729.32,Low,Semi-Urban,23846.79,218.55,3,650.63,0,Inactive,1
85957.21,M,30,NA,Low,Semi-Urban,107446.51,570.03,NA,805.57,0,Unpossessed,1
100539.58,M,18,4166.21,Low,Semi-Urban,154676.28,543.95,4,674.87,0,Inactive,1
4685.74,M,57,8348.84,Low,Urban,6693.92,79.21,1,702.19,0,Inactive,1
101810.05,F,22,1446.04,Low,Semi-Urban,145442.93,424.83,2,760.93,0,Unpossessed,1
82960.8,F,35,2427.02,Low,Rural,118515.43,385.55,3,683.06,0,Unpossessed,1
41619.64,M,42,1760.09,Low,Semi-Urban,59456.63,342.2,2,792.1,0,Inactive,1
25154.58,M,44,2659.7,Low,Semi-Urban,31443.23,227.52,2,832.04,1,Inactive,1
71724.86,F,18,2877.63,Low,Rural,89656.08,445.33,1,765.82,0,Inactive,1
50663.91,F,44,3168.31,Low,Semi-Urban,77944.47,341.84,2,730.57,0,Active,1
56549.94,M,21,1821.01,Low,Rural,75399.92,442.71,2,875.98,0,Active,1
50508.22,M,28,1581.03,Low,Semi-Urban,63135.27,302.37,2,NA,0,Inactive,1
95897.33,F,62,NA,Low,Semi-Urban,136996.18,410.67,4,673.37,0,Unpossessed,1
149951.03,F,43,2013.73,NA,Semi-Urban,199934.7,556.5,NA,833.15,0,Active,1
54269.92,M,18,3471.27,Low,Rural,67837.4,441.79,1,752.6,1,Active,1
68225.26,M,18,2181.85,Low,Semi-Urban,97464.66,527.77,3,689.44,1,Active,1
16982.28,M,54,NA,Low,Semi-Urban,26126.59,131.46,NA,NA,0,Active,1
88118.7,F,50,1791.18,Low,Semi-Urban,110148.38,445.52,1,787.47,0,NA,1
60363.53,M,33,1780.96,NA,Semi-Urban,92866.97,442.54,1,749.05,0,Active,1
27092.76,M,19,NA,Low,Semi-Urban,36123.68,397.9,1,762.4,1,Unpossessed,1
44450.06,M,29,5507.48,Low,Semi-Urban,68384.71,602.22,4,673.17,0,Unpossessed,1
88477.89,F,59,2190.29,Low,Semi-Urban,117970.52,412.03,NA,819.44,0,Active,1
48051.2,M,30,1763.76,Low,Semi-Urban,68644.57,387.61,2,696.92,0,Active,1
33650.89,F,53,NA,Low,Semi-Urban,48072.7,197.3,2,773.6,0,Inactive,1
74326.02,F,24,6511.1,Low,Semi-Urban,114347.73,597.61,3,738.4,0,Inactive,1
78681.77,F,65,981.86,High,Semi-Urban,104909.03,278.79,2,789.11,0,Inactive,0
106379.46,F,61,846.88,High,Semi-Urban,132974.32,377.99,2,844.03,0,Unpossessed,0
75451.3,F,40,2832.53,Low,Rural,116078.92,554.92,3,713.09,0,Unpossessed,1
27462.69,M,38,NA,Low,Urban,39232.41,408.11,2,817.49,0,Inactive,1
27494.8,F,37,2421.86,Low,Semi-Urban,39278.29,337.49,2,667.26,1,Unpossessed,1
49044.52,M,25,3153.13,Low,Semi-Urban,75453.11,785.01,NA,715.64,0,Active,1
44101.66,M,54,3319.28,Low,Semi-Urban,67848.7,201.8,4,716.77,0,Active,1
13358.56,F,22,NA,NA,Semi-Urban,17811.41,195.81,NA,781.88,0,Active,1
30557.51,F,39,1244.1,Low,Semi-Urban,43653.59,332.76,1,727.24,1,Inactive,1
70914.04,M,61,2211.03,Low,Urban,109098.53,615.16,1,713.89,0,Unpossessed,1
37690.65,M,45,2014.65,NA,Semi-Urban,53843.79,252.38,NA,726.29,0,Inactive,1
18514.26,M,48,1638.78,NA,Semi-Urban,26448.95,143.89,2,733.36,0,Active,1
19818.3,M,46,1411.01,Low,Semi-Urban,28311.86,123.41,1,743.36,0,Inactive,1
90679.43,F,18,3911.43,Low,Semi-Urban,129542.04,453.05,2,662.06,0,Active,1
39053.22,M,44,2858.12,NA,Rural,48816.53,333.18,2,809.07,0,Unpossessed,1
65656.25,F,61,NA,High,Rural,101009.62,467.54,3,NA,0,Unpossessed,0
71072.67,M,65,NA,High,Semi-Urban,88840.84,430.63,NA,820.02,1,Active,1
146882.96,F,43,9560.92,Low,Urban,225973.78,529.64,4,697.05,1,Inactive,1
13674.79,F,37,2190,Low,Semi-Urban,19535.41,190.15,4,NA,0,Unpossessed,1
32847.18,M,63,1784.71,High,Semi-Urban,41058.97,166.03,2,835.06,0,Unpossessed,0
56250.13,F,63,2326.46,High,Semi-Urban,75000.18,600.44,2,817.68,0,Inactive,1
30907.15,M,64,1596.21,Low,Semi-Urban,44153.07,334.26,2,765.2,0,Unpossessed,1
70574.2,M,52,2429.16,Low,Semi-Urban,108575.69,NA,3,668.58,0,Active,1
216228,M,55,NA,Low,Urban,332658.46,1723.22,2,697.22,0,NA,1
57205,F,41,NA,Low,Semi-Urban,76273.33,417.44,4,800.06,0,Active,1
174919.88,M,62,NA,NA,Semi-Urban,233226.5,623.6,NA,853.5,0,Inactive,1
109913.25,M,18,2287.55,NA,Semi-Urban,157018.93,532.95,3,661.46,1,Inactive,1
26499.94,M,57,NA,Low,Rural,37857.06,291.15,2,679.36,0,Inactive,1
17640.93,M,53,778.47,Low,Semi-Urban,27139.89,268.29,1,674.07,0,Active,1
26684.89,F,55,3985.74,Low,Urban,38121.27,196.04,3,708.7,1,Inactive,1
121036.58,M,51,NA,Low,Semi-Urban,186210.12,532.58,NA,711.24,0,Active,1
56979.25,F,44,1359.69,Low,Rural,87660.38,319.89,4,742.15,1,Inactive,1
28309.88,M,18,1243.5,Low,Rural,43553.66,242.74,2,707.71,1,Inactive,1
56599.99,F,44,1262.11,Low,Semi-Urban,80857.13,267.65,2,773.12,0,Inactive,1
94971.19,F,18,NA,NA,Rural,118713.99,364.79,2,814.72,1,Unpossessed,1
62803.18,M,58,NA,Low,Semi-Urban,96620.28,696.75,3,668.34,0,Unpossessed,1
79499.23,M,64,NA,High,Urban,105998.97,1117.84,2,847.81,1,Inactive,1
49326.14,F,35,2046.7,Low,Semi-Urban,70465.91,740.82,2,805.54,0,Inactive,1
28962.42,F,20,2578.54,NA,Semi-Urban,41374.89,416.34,2,712.69,0,Unpossessed,1
67188.92,F,31,3058.75,Low,Urban,103367.57,453.27,3,667.39,0,NA,1
109420.62,M,47,3178.93,Low,Semi-Urban,156315.17,867.97,4,766.33,0,NA,1
57329.37,F,18,2819.21,Low,Semi-Urban,81899.1,480.24,NA,657.02,0,Inactive,1
52981.2,M,24,1797.71,Low,Semi-Urban,70641.6,233.46,2,771.56,0,Inactive,1
23236.89,M,26,2815.37,Low,Semi-Urban,30982.52,244.31,1,758.19,0,Unpossessed,1
105700.26,F,39,4739.17,Low,Semi-Urban,151000.37,400.47,2,701.81,1,Active,1
21956.99,M,18,NA,Low,Semi-Urban,33779.99,182.34,NA,706.72,0,NA,1
17780.27,F,56,1608.34,Low,Rural,25400.39,123.46,1,670.49,1,Inactive,1
65087.05,F,52,730.36,Low,Semi-Urban,100133.93,310.89,2,710.34,1,Inactive,1
111530.6,M,35,1748.45,Low,Semi-Urban,148707.47,532.84,4,832.52,0,Inactive,1
42383.05,M,43,1144.54,Low,Semi-Urban,60547.22,398.65,2,699.13,0,Active,1
126228.39,M,40,NA,NA,Rural,168304.52,757.53,2,829.01,0,Inactive,1
40090.03,M,63,NA,High,Semi-Urban,50112.54,271.37,NA,826.53,1,Active,1
75950.25,M,37,2371.27,Low,Semi-Urban,108500.36,624.92,2,687.31,0,Inactive,1
197771.15,F,36,NA,Low,Semi-Urban,282530.21,709.59,3,731.88,0,Unpossessed,1
93785.38,F,44,NA,Low,Semi-Urban,133979.11,414.37,NA,745.54,0,Active,1
118076.04,F,49,4617.76,Low,Urban,147595.05,1100.29,NA,862.86,1,Unpossessed,1
167913.16,M,18,1306.31,Low,Semi-Urban,223884.22,664.78,2,784.53,0,Unpossessed,1
151254.66,M,64,3487.12,High,Semi-Urban,216078.09,785.03,2,842.37,1,Active,1
66199.21,F,18,2923.77,NA,Semi-Urban,101844.94,366,1,743.48,0,Inactive,1
94263.94,F,27,1745.36,Low,Semi-Urban,134662.77,398.59,2,826.08,1,Inactive,1
15205.87,F,34,691.8,Low,Semi-Urban,23393.65,163.36,2,661.72,0,Active,1
92937.14,M,45,2516.94,Low,Semi-Urban,123916.19,372.43,3,775.57,0,Inactive,1
91635.84,M,41,2132.04,Low,Semi-Urban,140978.22,755.46,3,681.63,0,Inactive,1
26307.52,F,51,1314.48,Low,Semi-Urban,40473.11,212.54,NA,741.21,0,Inactive,1
50294.91,M,46,3099.46,Low,Semi-Urban,71849.87,686.17,1,877.17,0,Inactive,1
26181.96,M,18,1007.68,Low,Semi-Urban,37402.8,258.32,2,663.44,0,Inactive,1
47113.05,F,51,NA,Low,Semi-Urban,72481.62,NA,NA,688.64,0,Inactive,1
43206.88,F,18,1396.24,Low,Semi-Urban,61724.12,303.63,2,NA,0,Unpossessed,1
51136.25,M,18,3041.78,Low,Urban,78671.16,628.99,2,685.37,0,Active,1
103561.09,M,55,5154.69,Low,Semi-Urban,147944.42,527.72,4,743.1,0,Inactive,1
64684.96,M,55,1649.42,Low,Semi-Urban,86246.62,262.87,2,816.98,0,Inactive,1
86434.39,F,62,2072.28,NA,Rural,123477.7,583.16,3,839.88,1,Active,1
19693.97,F,41,1012.08,Low,Semi-Urban,28134.24,168.45,5,683.94,0,Inactive,1
139915.38,M,34,NA,Low,Urban,215254.43,744.67,2,747.03,0,Active,1
50871.73,F,18,2400.26,Low,Semi-Urban,63589.66,507.21,1,809.45,0,Active,1
48500.15,F,52,NA,Low,Semi-Urban,74615.61,577.93,1,NA,0,Inactive,1
43684.89,M,32,1391.89,Low,Semi-Urban,62406.99,256.23,1,665.22,1,Inactive,1
46382.83,F,50,2567.53,Low,Semi-Urban,71358.2,611.5,1,657.87,0,Inactive,1
24619.13,M,29,1530.72,Low,Rural,35170.19,398.05,3,724.22,0,Unpossessed,1
105364.06,F,40,3529.72,NA,Urban,150520.09,1030.83,2,780.86,0,Inactive,1
26715.02,M,64,1385.55,High,Semi-Urban,33393.78,386.11,1,877.71,0,Inactive,1
39288.42,F,62,2053.3,Low,Semi-Urban,60443.73,401.96,3,730,1,Active,1
37836.38,M,30,NA,Low,Semi-Urban,58209.81,370.2,NA,650.13,0,Unpossessed,1
101648.09,F,50,6186.08,Low,Semi-Urban,127060.11,609.33,2,827.47,1,Inactive,1
46698.3,M,43,2965.06,Low,Semi-Urban,66711.85,351.17,3,672.12,0,Active,1
32197.4,F,26,971.26,Low,Rural,49534.46,190.78,NA,705.74,0,Inactive,1
53398.73,M,62,NA,Low,Urban,66748.41,211.37,4,791.06,0,Inactive,-999
107831.16,M,45,2219.88,Low,Semi-Urban,154044.51,643.66,3,658,0,Inactive,1
35263.22,F,22,3559.8,Low,Semi-Urban,47017.62,247.08,2,775.84,0,Active,1
45457.37,F,54,1684.16,Low,Semi-Urban,64939.1,290.11,2,691.8,0,Active,1
34062.2,M,38,3823.69,Low,Semi-Urban,42577.75,203.13,2,850.57,0,Unpossessed,0
24990.51,M,18,1697.62,Low,Semi-Urban,38446.94,204.88,3,723.02,0,Unpossessed,1
150109.56,M,61,3407.21,Low,Semi-Urban,187636.95,590.3,3,792.76,1,Active,1
39596.46,F,18,3472.66,Low,Urban,49495.58,244.57,2,864.47,0,Active,1
29810.74,M,28,2218.79,Low,Semi-Urban,42586.77,178.46,4,733.3,0,Unpossessed,1
30278.63,F,28,2363.96,Low,Semi-Urban,40371.51,193.57,2,860.7,0,Inactive,0
152737.6,F,43,4075.9,Low,Semi-Urban,218196.57,624.75,2,852.89,0,Inactive,1
51927.18,F,35,4154.97,Low,Semi-Urban,74181.68,321.48,2,739.63,0,Unpossessed,1
43899.44,M,18,NA,Low,Semi-Urban,62713.48,345.17,1,716.87,0,Active,1
54425.87,F,30,4274.94,NA,Semi-Urban,77751.24,786.58,2,689.37,0,Unpossessed,1
22754.18,F,39,4230.03,Low,Semi-Urban,32505.97,350.62,2,823.28,1,Active,1
28298.38,F,24,2811.59,Low,Semi-Urban,40426.25,187.53,2,682.05,0,Inactive,1
49931.03,M,39,1599.3,Low,Semi-Urban,76816.97,385.2,2,715.42,1,Unpossessed,1
18993.72,F,37,1918.47,Low,Semi-Urban,27133.88,133.97,2,742.25,1,Active,1
53261.77,F,65,1610.11,High,Semi-Urban,71015.7,421.71,2,790.08,0,Unpossessed,1
14805.6,F,18,NA,Low,Semi-Urban,21150.86,246.07,3,813.91,1,Inactive,1
21031.32,F,43,2346.93,Low,Semi-Urban,28041.76,316.99,2,769.36,1,Inactive,1
117838.83,F,28,NA,Low,Urban,168341.18,465,3,838.32,0,Inactive,1
16161.14,M,64,NA,Low,Semi-Urban,24863.29,168.66,1,727.98,1,Inactive,1
32170.45,M,59,2914.64,Low,Semi-Urban,45957.79,232.72,1,789.39,0,Unpossessed,1
29561.87,F,29,1243.19,Low,Rural,42231.24,225.2,2,716.92,0,Unpossessed,1
59435.14,F,18,5219.68,Low,Semi-Urban,74293.93,588,3,811.56,0,Inactive,1
63654.3,F,50,1243,Low,Semi-Urban,79567.88,402.06,2,776.18,1,NA,1
55377.14,F,64,1769.02,High,Semi-Urban,85195.6,522.06,1,683.54,1,NA,1
7476.74,M,49,970.38,Low,Semi-Urban,10681.06,112.28,NA,NA,0,Inactive,1
66138.51,M,18,2382.29,Low,Semi-Urban,94483.59,433.45,NA,712.45,0,Inactive,1
73571.48,F,18,1448.85,Low,Urban,113186.89,405.17,2,709.32,0,Inactive,1
28508.51,F,38,3129.86,Low,Semi-Urban,40726.44,371.7,2,842.99,1,Active,1
79436.95,F,37,3106.68,Low,Urban,105915.93,442.91,3,768.7,1,Inactive,1
51253.99,M,18,NA,Low,Semi-Urban,73219.99,260.57,1,804.78,0,Active,1
50312.26,M,26,NA,Low,Urban,71874.66,381.99,NA,656.37,0,Inactive,1
75763.34,F,23,2266.59,Low,Semi-Urban,108233.34,574.97,1,854.86,1,Unpossessed,1
72990.4,M,18,1805.79,Low,Semi-Urban,112292.92,703.78,2,692.83,0,Unpossessed,1
26711.69,F,18,1269.8,Low,Semi-Urban,33389.61,115.13,2,785.1,1,Inactive,1
112811.52,M,21,NA,Low,Semi-Urban,173556.18,562.67,NA,703.77,0,Inactive,1
34391.69,F,18,3135.88,Low,Semi-Urban,49130.98,471.38,NA,752.55,0,Active,1
88152.53,M,54,1282.32,Low,Semi-Urban,125932.19,351.54,NA,740.33,0,Active,1
75029.55,M,43,3999.81,Low,Semi-Urban,107185.07,610.89,2,699.94,0,Unpossessed,1
112310.22,M,18,2571.01,Low,Semi-Urban,172784.96,665.98,3,691.34,0,Inactive,1
65634.69,F,33,2370.84,Low,Semi-Urban,87512.92,444.88,3,817.2,0,Inactive,1
82834,F,25,2599.25,Low,Semi-Urban,127436.92,370.68,2,729.46,0,Active,1
18501.52,M,62,2114.39,Low,Semi-Urban,26430.75,127.31,4,707.79,0,Inactive,1
117986.89,M,33,2779.75,Low,Semi-Urban,181518.29,482.62,NA,659.31,0,Unpossessed,1
40418.61,M,60,NA,Low,Semi-Urban,62182.48,326.22,2,NA,0,Unpossessed,1
24137.83,M,38,1863.49,Low,Semi-Urban,37135.13,368.27,4,684.53,0,Active,1
62665.75,M,45,2950.46,Low,Semi-Urban,96408.85,307.36,2,743.51,1,Active,1
43855.96,M,59,NA,Low,Rural,67470.71,328.25,2,725.69,0,Inactive,1
45377.3,M,65,2675.06,High,Semi-Urban,60503.06,219.39,2,862.66,0,Active,1
51893.78,F,65,1890.84,High,Semi-Urban,64867.22,302.21,1,879.65,0,Inactive,1
88304.51,F,30,2693.42,Low,Semi-Urban,126149.3,695.08,2,666.36,1,Inactive,1
29175.46,M,28,1955.24,NA,Semi-Urban,44885.32,228.66,3,NA,0,Inactive,1
13186.16,M,18,1356.84,Low,Rural,20286.4,104.78,5,693.99,0,Unpossessed,1
25442.77,M,23,2060.66,Low,Rural,36346.81,427.53,1,729.87,0,Active,1
75590.19,F,20,2419.44,Low,Semi-Urban,88929.64,374.65,3,851.16,0,Active,1
162172.15,M,44,NA,Low,Semi-Urban,202715.19,569.58,NA,845.88,0,NA,1
65835.23,F,37,1748.52,Low,Semi-Urban,82294.04,524.45,1,818.37,0,Unpossessed,1
160999.54,F,49,NA,Low,Semi-Urban,201249.42,529.45,3,825.68,0,Inactive,1
92741.96,M,33,2242.79,Low,Semi-Urban,132488.52,351.76,4,688.41,0,Unpossessed,1
13211.93,M,18,1195.03,Low,Semi-Urban,18874.18,122.57,1,742.04,1,Active,1
64510.86,M,65,2229.79,High,Semi-Urban,80638.58,268.43,1,839.3,1,Active,1
21765.6,M,46,1892.76,Low,Semi-Urban,31093.72,179.14,2,755.37,0,Unpossessed,1
74059.67,F,37,2462.93,Low,Semi-Urban,98746.22,449.49,2,753.47,0,Active,1
13204.33,M,18,851.14,Low,Rural,20314.36,210.39,2,723.54,0,Active,1
129332.29,M,24,3845.81,Low,Semi-Urban,161665.36,643.3,3,765.23,0,Inactive,1
90236.82,M,50,4845.64,Low,Urban,128909.74,977.07,NA,830.19,0,Inactive,1
48156.68,F,36,3535.41,Low,Rural,68795.26,401.68,2,736.57,0,Unpossessed,1
190197.46,F,65,4791.31,High,Urban,237746.82,788.48,2,850.61,0,Active,1
45937.02,F,47,1813.86,Low,Semi-Urban,65624.31,358.99,2,853.18,1,Unpossessed,1
28696.17,F,25,2417.11,Low,Rural,40994.53,243.88,1,665.43,0,Unpossessed,1
65318.64,F,60,NA,High,Semi-Urban,81648.3,519.73,2,874.6,1,Inactive,1
47586.87,M,26,1998.12,Low,Semi-Urban,67981.24,323.59,2,NA,0,NA,1
